Brand,Screen_Size,Ram,Rating,OS_Family_Other,OS_Family_Windows,OS_Family_macOS,Disk_GB,CPU_Vendor,CPU_Family,CPU_Class,CPU_Arch,Price
ASUS,11.6,4,4.4,False,True,False,256.0,Intel,Celeron,Desktop/Unknown,x86,188.99
GIGABYTE,16.0,32,3.0,False,True,False,512.0,Intel,i9,Desktop/Unknown,x86,2799.99
ASUS,15.6,16,4.3,False,True,False,256.0,AMD,Ryzen3,Other,x86,359.0
SAMSUNG,14.0,4,2.0,False,True,False,512.0,Unknown,Other,Other,x86,189.99
ASUS,14.0,4,4.4,False,True,False,128.0,Intel,i3,Desktop/Unknown,x86,259.0
ASUS,16.0,64,3.5,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,2099.99
MSI,16.0,16,5.0,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1149.61
Microsoft,13.0,16,4.5,False,True,False,256.0,Intel,i7,Desktop/Unknown,x86,971.51
SAMSUNG,13.3,8,4.2,False,True,False,512.0,Intel,i5,Desktop/Unknown,x86,699.0
HP,17.3,8,4.5,False,True,False,512.0,Intel,i5,Mobile-U/G,x86,599.0
MSI,15.6,8,4.6,False,True,False,256.0,Intel,i5,Desktop/Unknown,x86,586.98
Alienware,15.6,16,4.1,False,True,False,1000.0,Intel,i7,Desktop/Unknown,x86,1799.95
ASUS,15.6,4,4.4,False,True,False,128.0,Intel,Celeron,Desktop/Unknown,x86,194.99
Acer,14.0,8,5.0,False,True,False,512.0,Intel,i5,Desktop/Unknown,x86,796.81
Acer,11.6,8,2.6,False,False,False,512.0,Intel,Celeron,Desktop/Unknown,x86,479.99
HP,15.6,8,4.5,False,True,False,128.0,Intel,i3,Desktop/Unknown,x86,450.7
Alienware,14.0,32,5.0,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,2187.49
ASUS,16.0,8,5.0,False,True,False,512.0,Intel,i5,Desktop/Unknown,x86,685.0
ASUS,14.5,24,4.3,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1075.88
HP,14.0,4,4.4,False,True,False,64.0,Intel,Celeron,Desktop/Unknown,x86,239.0
Acer,12.0,4,4.3,False,False,False,512.0,Intel,Celeron,Desktop/Unknown,x86,131.0
ASUS,15.6,32,3.4,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,1339.99
Acer,14.0,16,4.0,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1499.99
HP,14.0,16,4.2,False,True,False,64.0,Intel,Celeron,Desktop/Unknown,x86,369.0
Acer,15.6,16,4.4,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,1149.99
HP,15.6,16,4.4,False,True,False,1024.0,Intel,i3,Desktop/Unknown,x86,549.0
EXCaliberPC,17.3,16,4.1,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1699.0
Microsoft,13.5,8,4.5,False,True,False,128.0,Intel,i5,Desktop/Unknown,x86,779.0
EXCaliberPC,16.0,64,5.0,False,True,False,4096.0,Intel,i9,Desktop/Unknown,x86,4695.0
ASUS,12.0,4,4.2,False,True,False,256.0,Intel,Celeron,Desktop/Unknown,x86,189.0
Dell,15.6,16,4.2,False,True,False,512.0,Intel,Celeron,Desktop/Unknown,x86,502.0
MSI,16.0,32,4.2,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,870.0
Dell,15.6,16,4.3,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1950.99
ASUS,15.6,16,3.0,False,True,False,512.0,Intel,i9,Desktop/Unknown,x86,3499.0
Acer,11.6,4,4.0,False,False,False,512.0,Intel,Celeron,Desktop/Unknown,x86,79.99
HP,17.3,32,4.8,False,True,False,512.0,AMD,Ryzen5,Other,x86,699.0
Lenovo,15.6,8,4.5,False,True,False,512.0,Intel,i5,Desktop/Unknown,x86,529.99
ASUS,15.6,20,3.9,False,True,False,1024.0,Unknown,i7,Other,x86,899.0
SAMSUNG,11.6,2,4.1,False,False,False,16.0,ARM,Exynos,Other,ARM,38.98
HP,14.0,8,4.4,False,True,False,256.0,Intel,i5,Mobile-U/G,x86,399.0
ASUS,15.6,4,4.2,False,True,False,256.0,Intel,Celeron,Desktop/Unknown,x86,299.99
Razer,15.6,32,4.2,False,True,False,1024.0,Intel,i9,Desktop/Unknown,x86,3748.99
HP,15.6,16,4.4,False,True,False,512.0,AMD,Ryzen3,Other,x86,529.0
EXCaliberPC,17.3,32,5.0,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,1799.0
HP,15.6,8,4.4,False,True,False,256.0,Intel,i3,Desktop/Unknown,x86,299.99
LG,15.6,8,4.3,False,True,False,256.0,Intel,i5,Desktop/Unknown,x86,996.0
Acer,14.0,8,4.4,False,True,False,256.0,Intel,i7,Desktop/Unknown,x86,439.0
ASUS,15.6,8,3.5,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1339.99
MSI,15.6,32,4.2,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,2499.0
LG,16.0,16,4.3,False,True,False,2048.0,Intel,i7,Desktop/Unknown,x86,1699.0
Acer,14.0,16,4.4,False,True,False,512.0,Intel,i5,Desktop/Unknown,x86,559.0
SAMSUNG,13.0,16,5.0,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1098.97
EXCaliberPC,17.3,16,5.0,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,2349.0
ASUS,15.6,16,4.5,False,True,False,512.0,AMD,Ryzen7,Other,x86,1099.0
HP,15.6,32,4.4,True,False,False,512.0,AMD,Ryzen7,Other,x86,1049.99
MSI,17.3,32,4.7,False,True,False,1024.0,Intel,i9,Desktop/Unknown,x86,2314.19
HP,15.6,16,4.4,False,True,False,512.0,Intel,i3,Desktop/Unknown,x86,439.0
HP,15.6,16,4.4,False,True,False,1024.0,Intel,Pentium,Desktop/Unknown,x86,459.0
Microsoft,13.5,16,4.4,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,885.0
LG,17.0,32,4.8,False,True,False,2048.0,Intel,i7,Desktop/Unknown,x86,1799.99
Acer,14.0,8,4.4,False,True,False,512.0,AMD,Ryzen7,Other,x86,655.0
Acer,15.6,8,3.8,False,True,False,128.0,Intel,i3,Desktop/Unknown,x86,379.0
Dell,15.0,64,4.0,False,True,False,1024.0,Intel,i9,Desktop/Unknown,x86,3699.0
Acer,14.0,4,4.4,False,False,False,32.0,Intel,Celeron,Desktop/Unknown,x86,118.99
GIGABYTE,15.6,16,3.9,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,2444.49
SAMSUNG,16.0,16,4.3,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,1749.99
ASUS,14.0,16,4.3,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1268.88
Lenovo,17.3,8,4.5,False,True,False,512.0,AMD,Ryzen5,Other,x86,499.99
LG,16.0,16,4.3,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1197.99
SAMSUNG,15.6,8,3.9,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,499.0
HP,14.0,16,4.2,False,True,False,128.0,AMD,Ryzen3,Other,x86,319.0
HP,14.0,4,4.4,False,True,False,64.0,Intel,Celeron,Desktop/Unknown,x86,269.95
SAMSUNG,11.6,4,3.5,False,False,False,16.0,Intel,Celeron,Desktop/Unknown,x86,115.0
Acer,15.6,16,4.0,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1029.99
Alienware,17.3,16,1.0,False,True,False,1256.0,Unknown,i7,Other,x86,4799.0
HP,15.6,8,4.4,False,True,False,256.0,AMD,Ryzen5,Other,x86,568.0
HP,14.0,8,4.5,False,True,False,256.0,AMD,Ryzen5,Other,x86,405.0
HP,15.6,4,4.4,False,True,False,512.0,Intel,Celeron,Desktop/Unknown,x86,289.99
Lenovo,14.0,16,4.5,False,True,False,256.0,AMD,Ryzen5,Other,x86,698.88
MSI,15.6,32,3.8,False,True,False,1024.0,Intel,i5,Desktop/Unknown,x86,1399.99
LG,16.0,16,3.0,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1359.99
ASUS,14.0,8,4.5,False,True,False,256.0,Intel,i7,Desktop/Unknown,x86,1249.0
MSI,17.3,16,4.3,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,2099.0
Dell,13.3,8,4.2,False,True,False,512.0,Intel,i5,Desktop/Unknown,x86,649.0
HP,15.6,16,4.8,False,True,False,512.0,AMD,Athlon,Other,x86,449.0
Acer,16.0,16,5.0,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1249.0
MSI,17.3,16,4.5,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,1536.99
Dell,15.6,32,4.5,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,1110.66
MSI,15.6,8,4.0,True,False,False,512.0,Intel,i5,Desktop/Unknown,x86,697.26
MSI,17.3,32,4.6,False,True,False,1024.0,Intel,i9,Desktop/Unknown,x86,4999.0
BiTECOOL,14.0,12,4.3,False,True,False,256.0,Intel,Celeron,Desktop/Unknown,x86,319.0
HP,11.6,4,4.4,False,False,False,32.0,Intel,Celeron,Desktop/Unknown,x86,173.21
SAMSUNG,15.6,16,4.3,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1379.99
MSI,17.3,16,4.5,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1242.96
SAMSUNG,15.6,8,3.9,False,True,False,1024.0,AMD,Ryzen5,Other,x86,469.99
HP,14.0,4,4.5,False,True,False,64.0,Intel,Celeron,Desktop/Unknown,x86,319.99
SAMSUNG,11.6,2,4.4,False,False,False,16.0,Intel,Celeron,Desktop/Unknown,x86,69.9
EXCaliberPC,15.6,32,5.0,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,2649.0
Acer,17.3,16,4.4,False,True,False,1024.0,AMD,Ryzen7,Other,x86,959.0
SAMSUNG,15.0,4,4.3,False,False,False,512.0,Intel,Celeron,Desktop/Unknown,x86,359.0
Acer,15.6,8,3.9,False,True,False,128.0,AMD,Ryzen3,Other,x86,489.0
Dell,16.0,16,3.4,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,699.66
Panasonic,13.0,4,3.3,False,True,False,320.0,Intel,i5,Desktop/Unknown,x86,2800.0
ASUS,15.6,16,4.6,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1099.0
HP,14.0,4,4.5,False,False,False,64.0,Intel,Pentium,Desktop/Unknown,x86,169.99
EXCaliberPC,16.0,16,5.0,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,2399.0
Alienware,15.6,32,3.7,False,True,False,512.0,AMD,Ryzen9,Other,x86,2095.0
Lenovo,15.6,8,4.4,False,True,False,256.0,AMD,Ryzen5,Other,x86,649.0
EXCaliberPC,15.6,32,2.5,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,1679.0
HP,15.6,8,4.2,False,True,False,512.0,AMD,Ryzen5,Other,x86,399.0
Acer,17.3,16,4.5,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,2299.0
MSI,15.6,8,4.6,False,True,False,256.0,Intel,i5,Desktop/Unknown,x86,586.98
SAMSUNG,13.3,8,4.4,False,True,False,256.0,Intel,i5,Desktop/Unknown,x86,779.99
ASUS,15.6,12,4.4,False,True,False,512.0,Intel,i3,Mobile-U/G,x86,449.99
HP,17.3,16,4.2,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,1149.0
Acer,14.0,16,4.4,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1199.99
MSI,15.6,8,4.5,False,True,False,512.0,Intel,i5,Desktop/Unknown,x86,1048.99
Acer,11.6,4,5.0,False,False,False,160.0,AMD,A-series,Other,x86,199.0
MSI,15.6,8,4.5,False,True,False,512.0,Intel,i5,Desktop/Unknown,x86,682.47
MSI,17.3,32,4.5,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,1649.0
Acer,17.3,8,4.2,False,True,False,512.0,AMD,Ryzen5,Other,x86,800.23
MSI,17.3,32,4.6,False,True,False,1024.0,Intel,i9,Desktop/Unknown,x86,4999.0
ASUS,16.0,8,4.3,False,False,False,128.0,Intel,i3,Desktop/Unknown,x86,599.99
